method,samples,duration_s,pos_rmse_m,pos_mean_m,pos_max_m,final_pos_err_m,yaw_rmse_rad,yaw_rmse_deg,yaw_max_abs_deg,final_yaw_err_deg
Wheel Odometry,7576.0,784.280699968338,90.06805108139395,75.92666361430761,190.58066405347688,91.71820461587964,1.2611793804525853,72.26025570885709,176.49106014028536,-137.82917054281992
IMU,7576.0,784.280699968338,19502.34327313162,14399.7671799928,44270.43915922797,44270.43915922797,1.6427309640344514,94.12155111463109,179.95263599343355,128.97233646966217
EKF Fusion (IMU + Wheel Odometry),7576.0,784.280699968338,14.045157984487345,12.191491619934585,26.366566305046696,7.112914658668744,0.49634293275840097,28.438355238201986,179.9744875014858,130.01065176643965
